what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.apache.geronimo.st.v20.core,2.2.0,"org.apache.geronimo.st.v20.core",1356526230600
stopped,bundle,org.apache.geronimo.st.v22.core,2.2.0,"org.apache.geronimo.st.v22.core",1356526230601
stopped,bundle,org.apache.geronimo.st.v21.core,2.2.0,"org.apache.geronimo.st.v21.core",1356526230601
stopped,bundle,org.apache.geronimo.st.core,2.2.0,"org.apache.geronimo.st.core",1356526230601
stopped,bundle,org.eclipse.jst.j2ee.ejb,1.1.503.v201108102200,"org.eclipse.jst.j2ee.ejb",1356526230602
stopped,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1356526230602
stopped,bundle,org.eclipse.jst.ws.jaxrs.ui,1.0.401.v201108230518,"org.eclipse.jst.ws.jaxrs.ui",1356526230603
stopped,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1356526230603
stopped,bundle,org.eclipse.jst.j2ee.web,1.1.501.v201108231500,"org.eclipse.jst.j2ee.web",1356526230603
stopped,bundle,org.eclipse.jst.jee,1.0.401.v201105122000,"org.eclipse.jst.jee",1356526230603
stopped,bundle,org.eclipse.jst.j2ee.jca,1.1.500.v201108102200,"org.eclipse.jst.j2ee.jca",1356526230603
stopped,bundle,org.eclipse.jst.jsf.facesconfig,1.2.2.v201105031140,"org.eclipse.jst.jsf.facesconfig",1356526230603
stopped,bundle,org.eclipse.jst.j2ee,1.1.501.v201108231845,"org.eclipse.jst.j2ee",1356526230603
stopped,bundle,org.eclipse.jst.j2ee.core,1.2.101.v201108110300,"org.eclipse.jst.j2ee.core",1356526230603
